feature_0,feature_1,feature_2,feature_3,scaled_target
-0.3584059,-1.3380653,-1.6473476,1.207027,-0.21409948
-0.35980988,-1.351177,-1.6440909,1.0564966,-0.08392834
-0.33104783,-1.4508848,-1.6424062,0.8339107,0.04624279
-0.31967226,-1.5045093,-1.6839207,0.73073614,0.123381235
-0.31121624,-1.5216765,-1.6945168,0.703006,0.7019196
-0.2972622,-1.5620298,-1.8195168,0.6689757,0.81762725
-0.29768798,-1.5303545,-1.741979,0.6762618,0.62478113
-0.3465411,-1.3929455,-1.5945529,0.7922772,0.47050425
-0.41335577,-1.2391773,-1.5285088,1.1146733,0.20051968
-0.46374878,-1.1195589,-1.4084423,1.4972483,0.3933658
-0.487427,-1.0848157,-1.3795007,1.5615047,0.04624279
-0.47740188,-1.1260854,-1.4245273,1.3481148,-0.49372634
-0.4801153,-1.1387619,-1.4399085,1.2876843,-0.18517256
-0.5018031,-1.1187444,-1.4756585,1.3459915,0.084812015
-0.4870003,-1.1298639,-1.4565719,1.4511691,-0.45515713
-0.48065293,-1.0309458,-1.2131232,1.9548856,-0.45515713
-0.4832061,-0.9905868,-1.1732734,2.139436,0.084812015
-0.4769644,-0.98150307,-1.1818541,2.2863667,-0.14660333
-0.4872437,-0.9672357,-1.1948694,2.3312755,-0.5322956
-0.49014658,-0.97105616,-1.2639536,2.3880665,-0.069464885
-0.4723767,-1.0190593,-1.3385677,2.2962906,-0.14660333
-0.4967376,-0.9298614,-1.167575,2.539271,-0.262311
-0.49602535,-0.9265456,-1.2057191,2.3220868,-0.30088022
-0.4511968,-1.0724032,-1.4564372,1.7835101,-0.8022801
-0.40950948,-1.2108903,-1.6608003,1.2535731,-0.262311
-0.41694933,-1.1694087,-1.5202179,1.3157378,0.04624279
-0.39576173,-1.2756653,-1.5789338,1.0033182,0.7404888
-0.37355042,-1.3810207,-1.6760772,0.8194982,0.7019196
-0.33132252,-1.5611297,-1.8343998,0.5694586,0.5476427
-0.32613462,-1.580703,-1.8971769,0.5180532,0.5476427
-0.3366177,-1.5215602,-1.8440299,0.5949068,0.6633504
-0.3983838,-1.3212297,-1.6976582,0.8157836,0.5090735
-0.43565333,-1.2299277,-1.7262044,1.1104629,0.3933658
-0.49419278,-1.0952222,-1.5690874,1.4192681,0.47050425
-0.497118,-1.105605,-1.5294133,1.4296378,0.5476427
